date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
10:33:37	97247/97247	---M-Z	200	added ('OK')	text/html	date:Sat,%2011%20Sep%202021%2023:05:34%20GMT	https://validthemes.live/themeforest/examin/index-3.html	D:/TEMPLATE%20WEB/tem/validthemes.live/themeforest/examin/index-3.html	(from )
10:33:39	1238/1238	---M--	404	error ('Not%20Found')	text/html	date:Mon,%2007%20Nov%202022%2003:33:36%20GMT	https://validthemes.live/robots.txt		(from )
10:33:39	1970/1970	---M--	200	added ('OK')	image/png	date:Sat,%2008%20Dec%202018%2020:24:42%20GMT	https://validthemes.live/themeforest/examin/assets/img/favicon.png	D:/TEMPLATE%20WEB/tem/validthemes.live/themeforest/examin/assets/img/favicon.png	(from https://validthemes.live/themeforest/examin/index-3.html)
10:33:40	121200/121200	---M-Z	200	added ('OK')	text/css	date:Tue,%2028%20Aug%202018%2023:45:16%20GMT	https://validthemes.live/themeforest/examin/assets/css/bootstrap.min.css	D:/TEMPLATE%20WEB/tem/validthemes.live/themeforest/examin/assets/css/bootstrap.min.css	(from https://validthemes.live/themeforest/examin/index-3.html)
10:33:40	45633/45633	---M-Z	200	added ('OK')	text/css	date:Tue,%2028%20Aug%202018%2023:45:16%20GMT	https://validthemes.live/themeforest/examin/assets/css/font-awesome.min.css	D:/TEMPLATE%20WEB/tem/validthemes.live/themeforest/examin/assets/css/font-awesome.min.css	(from https://validthemes.live/themeforest/examin/index-3.html)
10:33:40	2779/2779	---M-Z	200	added ('OK')	text/css	date:Fri,%2007%20Dec%202018%2023:22:30%20GMT	https://validthemes.live/themeforest/examin/assets/css/flaticon-set.css	D:/TEMPLATE%20WEB/tem/validthemes.live/themeforest/examin/assets/css/flaticon-set.css	(from https://validthemes.live/themeforest/examin/index-3.html)
10:33:41	26593/26593	---M-Z	200	added ('OK')	text/css	date:Fri,%2005%20Feb%202021%2003:11:52%20GMT	https://validthemes.live/themeforest/examin/assets/css/elegant-icons.css	D:/TEMPLATE%20WEB/tem/validthemes.live/themeforest/examin/assets/css/elegant-icons.css	(from https://validthemes.live/themeforest/examin/index-3.html)
10:33:41	6951/6951	---M-Z	200	added ('OK')	text/css	date:Tue,%2028%20Aug%202018%2023:45:16%20GMT	https://validthemes.live/themeforest/examin/assets/css/magnific-popup.css	D:/TEMPLATE%20WEB/tem/validthemes.live/themeforest/examin/assets/css/magnific-popup.css	(from https://validthemes.live/themeforest/examin/index-3.html)
10:33:41	2936/2936	---M-Z	200	added ('OK')	text/css	date:Tue,%2028%20Aug%202018%2023:45:16%20GMT	https://validthemes.live/themeforest/examin/assets/css/owl.carousel.min.css	D:/TEMPLATE%20WEB/tem/validthemes.live/themeforest/examin/assets/css/owl.carousel.min.css	(from https://validthemes.live/themeforest/examin/index-3.html)
10:33:42	936/936	---M-Z	200	added ('OK')	text/css	date:Tue,%2028%20Aug%202018%2023:45:16%20GMT	https://validthemes.live/themeforest/examin/assets/css/owl.theme.default.min.css	D:/TEMPLATE%20WEB/tem/validthemes.live/themeforest/examin/assets/css/owl.theme.default.min.css	(from https://validthemes.live/themeforest/examin/index-3.html)
