date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
11:37:39	101088/101088	---MCZ	200	added ('OK')	text/html	date:Thu,%2022%20Sep%202022%2016:48:52%20GMT	https://spruko.com/demo/symfony/dashplex/Dashplex/html/background.html	D:/TEMPLATE%20WEB/yeye/spruko.com/demo/symfony/dashplex/Dashplex/html/background.html	(from )
11:37:40	315/315	---M--	404	error ('Not%20Found')	text/html	date:Mon,%2007%20Nov%202022%2004:37:39%20GMT	https://spruko.com/robots.txt		(from )
11:37:40	163873/163873	---M-Z	200	added ('OK')	text/css	date:Sun,%2010%20Oct%202021%2002:14:24%20GMT	https://spruko.com/demo/symfony/dashplex/Dashplex/assets/plugins/bootstrap/css/bootstrap.min.css	D:/TEMPLATE%20WEB/yeye/spruko.com/demo/symfony/dashplex/Dashplex/assets/plugins/bootstrap/css/bootstrap.min.css	(from https://spruko.com/demo/symfony/dashplex/Dashplex/html/background.html)
11:37:41	79489/79489	---M-Z	200	added ('OK')	text/css	date:Sat,%2005%20Sep%202020%2019:21:42%20GMT	https://spruko.com/demo/symfony/dashplex/Dashplex/assets/web-fonts/font-awesome/font-awesome.min.css	D:/TEMPLATE%20WEB/yeye/spruko.com/demo/symfony/dashplex/Dashplex/assets/web-fonts/font-awesome/font-awesome.min.css	(from https://spruko.com/demo/symfony/dashplex/Dashplex/html/background.html)
11:37:41	261407/261407	---M-Z	200	added ('OK')	text/css	date:Wed,%2023%20Feb%202022%2019:19:32%20GMT	https://spruko.com/demo/symfony/dashplex/Dashplex/assets/web-fonts/icons.css	D:/TEMPLATE%20WEB/yeye/spruko.com/demo/symfony/dashplex/Dashplex/assets/web-fonts/icons.css	(from https://spruko.com/demo/symfony/dashplex/Dashplex/html/background.html)
11:37:42	224401/224401	---M-Z	200	added ('OK')	text/css	date:Thu,%2011%20Nov%202021%2016:50:18%20GMT	https://spruko.com/demo/symfony/dashplex/Dashplex/assets/web-fonts/plugin.css	D:/TEMPLATE%20WEB/yeye/spruko.com/demo/symfony/dashplex/Dashplex/assets/web-fonts/plugin.css	(from https://spruko.com/demo/symfony/dashplex/Dashplex/html/background.html)
11:37:44	1762886/1762886	---MCZ	200	added ('OK')	text/css	date:Thu,%2015%20Sep%202022%2019:18:40%20GMT	https://spruko.com/demo/symfony/dashplex/Dashplex/assets/css/style.css	D:/TEMPLATE%20WEB/yeye/spruko.com/demo/symfony/dashplex/Dashplex/assets/css/style.css	(from https://spruko.com/demo/symfony/dashplex/Dashplex/html/background.html)
11:37:45	453502/453502	---MCZ	200	added ('OK')	text/css	date:Wed,%2007%20Sep%202022%2016:49:08%20GMT	https://spruko.com/demo/symfony/dashplex/Dashplex/assets/css/plugins.css	D:/TEMPLATE%20WEB/yeye/spruko.com/demo/symfony/dashplex/Dashplex/assets/css/plugins.css	(from https://spruko.com/demo/symfony/dashplex/Dashplex/html/background.html)
11:37:45	12775/12775	---M-Z	200	added ('OK')	text/css	date:Fri,%2024%20Dec%202021%2016:54:02%20GMT	https://spruko.com/demo/symfony/dashplex/Dashplex/assets/switcher/css/switcher.css	D:/TEMPLATE%20WEB/yeye/spruko.com/demo/symfony/dashplex/Dashplex/assets/switcher/css/switcher.css	(from https://spruko.com/demo/symfony/dashplex/Dashplex/html/background.html)
11:37:45	8925/8925	---M-Z	200	added ('OK')	text/css	date:Wed,%2023%20Feb%202022%2019:21:12%20GMT	https://spruko.com/demo/symfony/dashplex/Dashplex/assets/switcher/demo.css	D:/TEMPLATE%20WEB/yeye/spruko.com/demo/symfony/dashplex/Dashplex/assets/switcher/demo.css	(from https://spruko.com/demo/symfony/dashplex/Dashplex/html/background.html)
